2015-02-18 19:33:22 status half-installed gzip:amd64 1.6-3ubuntu1
2015-02-18 19:33:22 status unpacked gzip:amd64 1.6-3ubuntu1
2015-02-18 19:33:22 status unpacked gzip:amd64 1.6-3ubuntu1
2015-02-18 19:33:22 install hostname:amd64 <none> 3.15ubuntu1
2015-02-18 19:33:22 status half-installed hostname:amd64 3.15ubuntu1
2015-02-18 19:33:22 status unpacked hostname:amd64 3.15ubuntu1
2015-02-18 19:33:22 status unpacked hostname:amd64 3.15ubuntu1
2015-02-18 19:33:23 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2015-02-18 19:33:23 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2015-02-18 19:33:23 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2015-02-18 19:33:23 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2015-02-18 19:33:23 install initramfs-tools:all <none> 0.103ubuntu4
2015-02-18 19:33:23 status half-installed initramfs-tools:all 0.103ubuntu4
2015-02-18 19:33:23 status unpacked initramfs-tools:all 0.103ubuntu4
2015-02-18 19:33:23 status unpacked initramfs-tools:all 0.103ubuntu4
2015-02-18 19:33:23 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2015-02-18 19:33:23 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
2015-02-18 19:33:23 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2015-02-18 19:33:23 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2015-02-18 19:33:23 install initscripts:amd64 <none> 2.88dsf-41ubuntu6
2015-02-18 19:33:23 status half-installed initscripts:amd64 2.88dsf-41ubuntu6
2015-02-18 19:33:23 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2015-02-18 19:33:23 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2015-02-18 19:33:23 install insserv:amd64 <none> 1.14.0-5ubuntu2
2015-02-18 19:33:23 status half-installed insserv:amd64 1.14.0-5ubuntu2
2015-02-18 19:33:23 status unpacked insserv:amd64 1.14.0-5ubuntu2
2015-02-18 19:33:23 status unpacked insserv:amd64 1.14.0-5ubuntu2
2015-02-18 19:33:23 install iproute2:amd64 <none> 3.12.0-2
2015-02-18 19:33:23 status half-installed iproute2:amd64 3.12.0-2
2015-02-18 19:33:23 status unpacked iproute2:amd64 3.12.0-2
2015-02-18 19:33:23 status unpacked iproute2:amd64 3.12.0-2
2015-02-18 19:33:23 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2015-02-18 19:33:23 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:23 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:23 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:23 install kmod:amd64 <none> 15-0ubuntu6
2015-02-18 19:33:23 status half-installed kmod:amd64 15-0ubuntu6
2015-02-18 19:33:23 status unpacked kmod:amd64 15-0ubuntu6
2015-02-18 19:33:23 status unpacked kmod:amd64 15-0ubuntu6
2015-02-18 19:33:23 install libacl1:amd64 <none> 2.2.52-1
2015-02-18 19:33:23 status half-installed libacl1:amd64 2.2.52-1
2015-02-18 19:33:23 status unpacked libacl1:amd64 2.2.52-1
2015-02-18 19:33:23 status unpacked libacl1:amd64 2.2.52-1
2015-02-18 19:33:23 install libattr1:amd64 <none> 1:2.4.47-1ubuntu1
2015-02-18 19:33:23 status half-installed libattr1:amd64 1:2.4.47-1ubuntu1
2015-02-18 19:33:23 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2015-02-18 19:33:23 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2015-02-18 19:33:23 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 install libaudit1:amd64 <none> 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status half-installed libaudit1:amd64 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2015-02-18 19:33:23 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu20
2015-02-18 19:33:23 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:23 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:23 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:23 install libbz2-1.0:amd64 <none> 1.0.6-5
2015-02-18 19:33:23 status half-installed libbz2-1.0:amd64 1.0.6-5
2015-02-18 19:33:23 status unpacked libbz2-1.0:amd64 1.0.6-5
2015-02-18 19:33:23 status unpacked libbz2-1.0:amd64 1.0.6-5
2015-02-18 19:33:23 install libc-bin:amd64 <none> 2.19-0ubuntu6
2015-02-18 19:33:23 status half-installed libc-bin:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status unpacked libc-bin:amd64 2.19-0ubuntu6
